note,chord,bar,correct,,assigned,,reassigned,,category,model output,,,,
0,0,,3,,3,,,,,0.000000021487467805059168,0.001403548987582326,0.04353751242160797,0.9550588726997375,0.000000000018097651849346974
1,0,,2,,2,,,,,0.000016189078451134264,0.04749990254640579,0.9477611184120178,0.004722723737359047,0.000000002902429185880351
2,0,,1,,1,,,,,0.012036611326038837,0.9681370258331299,0.019380003213882446,0.0004463130026124418,0.000000003483853427965755
3,0,,0,,0,,,,,0.9997897744178772,0.00019758396956603974,0.000012590734513651114,0.00000005094257815585479,0.00000000017065106272529107
4,1,,0,,0,,,,,0.9086591601371765,0.0874575525522232,0.003853589529171586,0.00002969219167425763,0.0000000000000012011081775578853
5,2,,0,,0,,,,,0.9930451512336731,0.002660672180354595,0.004289774689823389,0.0000044210842133907136,0.00000000024200624837433793
6,3,,0,,0,,,,,0.9924725294113159,0.006994992960244417,0.0005321807111613452,0.0000003055000092899718,0.000000000030588621913185676
7,4,,0,,0,,,,,0.9995951056480408,0.00037430034717544913,0.000030557763238903135,0.00000012519490155682433,0.00000000000022162504578933373
8,5,,0,,0,,,,,0.9981259703636169,0.0010491004213690758,0.0008239306625910103,0.0000010101678071805509,0.000000000008934269123128669
9,6,,0,,0,,,,,0.9967233538627625,0.0030797056388109922,0.00018437868857290596,0.000012623473594430834,0.00000000011523452331241302
10,7,,0,,0,,,,,0.998747706413269,0.001024981727823615,0.00022097134205978364,0.000006333672899927478,0.0000000000396105682975989
11,8,,0,,0,,,,,0.9997687935829163,0.00021976616699248552,0.000011442335562605876,0.000000048286509013450996,0.0000000000034241171096432987
12,9,,3,,3,,,,,0.00000000003796006217693382,0.00011950355838052928,0.048788875341415405,0.9510915875434875,0.0000000000000000025268680265045387
13,9,,2,,2,,,,,0.0000000048744941416600795,0.002850677352398634,0.9969779253005981,0.00017135294910985976,0.000000000000000000040021088605066736
14,9,,1,,1,,,,,0.000034229407901875675,0.9998488426208496,0.00011693385022226721,0.0000000023602402254851995,0.00000000000000000000017520673911250677
15,9,,0,,0,,,,,0.9999996423721313,0.0000004024338693398022,0.0000000025562667538281403,0.000000000000021181151518595738,0.000000000000000000041843031452397206
16,10,,2,,2,,,,,0.00020209330250509083,0.456858366727829,0.5380345582962036,0.004905021283775568,0.00000000000000019326786491703833
17,11,,2,,2,,,,,0.000001891833790068631,0.02763146348297596,0.9470214247703552,0.025345176458358765,0.0000000000000004295986995840281
18,11,,0,,0,,,,,0.9993882179260254,0.0006097708246670663,0.0000020208012756484095,0.000000000004434716482926149,0.0000000000000000031537212111288616
19,12,,0,,1,,,,I,0.28183695673942566,0.676858127117157,0.041279397904872894,0.00002561215660534799,0.0000000000037947891357026364
20,13,,3,,3,,,,,0.000000000003479180919058189,0.0000002385865798260056,0.01705717295408249,0.9829425811767578,0.00000000000000000000039992864903682807
