note,chord,bar,correct,,assigned,,reassigned,,category,model output,,,,
0,0,,3,,3,,,,,0.0000000000000000013621632657725206,0.000031136450005901996,0.07664618068545681,0.999999983997995,0.00000000000000000001
1,0,,2,,2,,,,,0.00000000000000001722001692204584,0.0022195581030658774,0.9747499484047598,0.0000008310822156175453,0.00000000000000000001
2,0,,1,,1,,,,,0.0000007453610201261006,0.9919028360549508,0.0068286307361423585,0.0000000017107620555236257,0.00000000000000000001
3,0,,0,,0,,,,,0.9999985033600369,0.0007109444018988648,0.0018490098616218424,0.0000000006143985485041421,0.00000000000000000001
4,1,,0,,0,,,,,0.9735926134020654,0.026521551617455924,0.0009912367613588828,0.0003582365802625445,0.00000000000000000001
5,2,,0,,0,,,,,0.9844054071639047,0.006752121639020368,0.000918141429936782,0.0007587647848148183,0.00000000000000000001
6,3,,0,,0,,,,,0.9922430348532914,0.002709590728528973,0.0005687761283722924,0.0006293044385766493,0.00000000000000000001
7,4,,0,,0,,,,,0.9957948307552882,0.0014242749439982924,0.00035497268180647635,0.0004097286305693988,0.00000000000000000001
8,5,,0,,0,,,,,0.9941852269632196,0.0020457779122546693,0.0004487327353091498,0.000502949322401003,0.00000000000000000001
9,6,,0,,0,,,,,0.9961944938512853,0.0012098270740999702,0.00035301868397960573,0.0004438667677271877,0.00000000000000000001
10,7,,0,,0,,,,,0.9858696273983799,0.0049852791788774645,0.0009281443976505576,0.0006220813444528068,0.00000000000000000001
11,8,,0,,0,,,,,0.9946220224972323,0.001615495398761848,0.00047765005797172007,0.0005652250927598453,0.00000000000000000001
12,9,,3,,3,,,,,0.0000016532506427575892,0.00010075649030315471,0.01757833181273065,0.9916434511856406,0.00000000000000000001
13,9,,2,,2,,,,,0.0000002980368961345961,0.01377858045897573,0.9912783351098252,0.0003401452835660226,0.00000000000000000001
14,9,,1,,1,,,,,0.0002574124289200113,0.9990289652095583,0.00023332940639822521,0.0011930366554085683,0.00000000000000000001
15,9,,0,,0,,,,,0.9997483136722382,0.000004436729819030802,0.00011239663699319876,0.0004001281352349605,0.00000000000000000001
16,10,,2,,2,,,,,0.0018735275934594448,0.14619730015835022,0.791575809425403,0.19328525427199614,0.00000000000000000001
17,11,,2,,2,,,,,0.00000002049676837918132,0.013538114007144783,0.9352193798925149,0.15053371378201122,0.00000000000000000001
18,11,,0,,0,,,,,0.9565220859044075,0.01577145008386709,0.000014307284328866758,0.00025130358923519295,0.00000000000000000001
19,12,,0,,2,,,,I,0.17494533477646748,0.13770032355305495,0.2350852515118056,0.00021893217269686478,0.00000000000000000001
20,13,,3,,3,,,,,0.000020900477712058374,0.00001607143820394439,0.011603566174607189,0.9947912427175524,0.00000000000000000001
21,13,,2,,2,,,,,0.000001466867334954673,0.004847928363861227,0.993640884946076,0.000040763586526880737,0.00000000000000000001
22,13,,1,,1,,,,,0.01071178064750723,0.9866718638051069,0.00009634069199027456,0.000024553261184562998,0.00000000000000000001
23,13,,0,,0,,,,,0.9996172561109901,0.000005609754787145476,0.00046465625805894176,0.002065398679040035,0.00000000000000000001
24,14,,0,,0,,,,,0.953668879717672,0.02425320481380524,0.003218992177637627,0.001993513142526105,0.00000000000000000001
25,15,,1,,2,,,,I,0.000012097396066642726,0.10406066748851503,0.8183400894050409,0.15168432014564256,0.00000000000000000001
