note,chord,bar,correct,,assigned,,reassigned,,category,model output,,,,
0,0,,0,,0,,,,,0.8128370648950638,0.0028379967198581247,0.2070819910059946,0.020730390364040632,0.00000000000000000001
1,1,,0,,0,,,,,0.9998536954599386,0.0012181206458410818,0.000036276743768829575,0.0000000029573864148046093,0.00000000000000000001
2,2,,0,,0,,,,,0.9999771380387485,0.0003248952341131347,0.0016903507982626044,0.0000005543825204906658,0.00000000000000000001
3,3,,0,,0,,,,,0.9999912819389496,0.0005644320573007878,0.0008392043959005419,0.00000038425996320431763,0.00000000000000000001
4,4,,0,,0,,,,,0.9999880033961046,0.0015788605289750795,0.000082248234556361,0.0000000008466440153028736,0.00000000000000000001
5,5,,0,,0,,,,,0.9999969955240896,0.0005181415588002393,0.0005968095193217091,0.0000002043989098305024,0.00000000000000000001
6,6,,0,,0,,,,,0.9999895761156686,0.0005539395125808256,0.0008243450884065654,0.0000003623883418926956,0.00000000000000000001
7,7,,0,,0,,,,,0.9999827480995784,0.0015859983557861771,0.00007626004841619798,0.0000000010404815833394798,0.00000000000000000001
8,8,,0,,0,,,,,0.9999958892772797,0.000554425623835995,0.00058598048320589,0.00000018954834996105374,0.00000000000000000001
9,9,,0,,0,,,,,0.9999234765848151,0.0005074613386386978,0.0001691025252768045,0.000000006731838658693431,0.00000000000000000001
10,10,,0,,0,,,,,0.9999791427172879,0.0015213666262892441,0.00015059286393217071,0.0000000014726194655137106,0.00000000000000000001
11,11,,0,,0,,,,,0.999988104928623,0.0006519763624540866,0.0004123634979799469,0.0000001733638006796229,0.00000000000000000001
12,12,,0,,0,,,,,0.9999595373676623,0.0016158277164913034,0.00007041826182012007,0.000000001802592805762093,0.00000000000000000001
13,13,,0,,0,,,,,0.9999540465550613,0.0015496791802606035,0.00006194593156493964,0.0000000019824254372027855,0.00000000000000000001
14,14,,0,,0,,,,,0.9999902152536905,0.0006377810235091209,0.000558555811755928,0.00000016477227412025356,0.00000000000000000001
15,15,,0,,0,,,,,0.9999640195666724,0.001369256720051088,0.00009045442776613358,0.0000000022375523145144144,0.00000000000000000001
16,16,,1,,3,,,,I,0.023168337680136857,0.00001340909611004794,0.0007878194650928707,0.10963632315354487,0.00000000000000000001
17,16,,0,,0,,,,,0.9999268873595,0.00008139609672198244,0.0011570825637433064,0.0000000007993852543639438,0.00000000000000000001
18,17,,0,,1,,,,I,0.15264809618475986,0.7264134975334852,0.0000006659683003013628,0.0000012264182727129957,0.00000000000000000001
19,18,,0,,0,,,,,0.9257019929590087,0.1411413940911868,0.0000004871364683384779,0.0000013016580773099484,0.00000000000000000001
20,19,,0,,0,,,,,0.9875517694286736,0.029903740328942725,0.0000005728051421225935,0.0000002167603956861183,0.00000000000000000001
21,20,,0,,0,,,,,0.9921185129227188,0.019087091741545433,0.0000007304224705731688,0.00000011349872046788481,0.00000000000000000001
22,21,,0,,0,,,,,0.9814369443924215,0.03860682513758056,0.0000009273264422469349,0.0000005978480325145747,0.00000000000000000001
23,22,,0,,0,,,,,0.9959039547210964,0.011868969576134782,0.000001161771963631918,0.0000000998638236439979,0.00000000000000000001
24,23,,1,,1,,,,,0.000009063572380524552,0.9729560531311716,0.0011262801068104508,0.00005666513147670918,0.00000000000000000001
25,23,,0,,0,,,,,0.9986172042024096,0.00021617145186334462,0.000027977545664663373,0.00000005181184341826537,0.00000000000000000001
26,24,,0,,0,,,,,0.98784249544773,0.02746679884049553,0.0000005162462999009718,0.00000011336405577225833,0.00000000000000000001
27,25,,0,,0,,,,,0.9871800800699421,0.028264830420746973,0.000000650306525546194,0.00000019557065503106826,0.00000000000000000001
28,26,,0,,0,,,,,0.9939152499004427,0.016243796573823716,0.0000009609686308982089,0.00000011070016167964,0.00000000000000000001
29,27,,2,,3,,,,I,0.000008123790707597944,0.04245238543291731,0.00007377310338991311,0.26978968400715114,0.00000000000000000001
30,27,,1,,1,,,,,0.0002682336657162598,0.9552521412884276,0.0000009699121747639224,0.00009711193800816066,0.00000000000000000001
31,27,,0,,0,,,,,0.9977729666435481,0.00023446823096737843,0.000022549022231713507,0.00000003584206486095717,0.00000000000000000001
32,28,,1,,1,,,,,0.04313060904469219,0.7600934646544262,0.13616104246873886,0.0000000009366650597104522,0.00000000000000000001
33,29,,1,,1,,,,,0.04713864770542337,0.832856671358491,0.07326519260671231,0.0000000006443534108091752,0.00000000000000000001
34,30,,1,,1,,,,,0.06052818291062035,0.8222664092168634,0.04746666099751925,0.00000000053397084786979,0.00000000000000000001
35,31,,1,,1,,,,,0.017568618817307428,0.891042194398305,0.07331083460677885,0.0000000025467192391554312,0.00000000000000000001
36,32,,1,,1,,,,,0.023063454877204785,0.9093630725511253,0.04265880232234866,0.000000001672584921820074,0.00000000000000000001
37,33,,1,,1,,,,,0.037810688411929055,0.9016550879602937,0.020064720219175,0.0000000009966882678576065,0.00000000000000000001
38,34,,2,,2,,,,,0.000004172951390097858,0.03173428872818045,0.9668360424430155,0.0006951875217755121,0.00000000000000000001
39,34,,1,,1,,,,,0.00007221941807521829,0.9934756942726511,0.00019620381444763584,0.0000009114048343861806,0.00000000000000000001
40,34,,0,,0,,,,,0.9988290140279174,0.00027260740722100227,0.00004224147531182116,0.0000000762945052859232,0.00000000000000000001
41,35,,1,,1,,,,,0.0885338516259269,0.40642892816551507,0.29753019996967683,0.0000000020783952111017303,0.00000000000000000001
42,36,,1,,1,,,,,0.05167090478978721,0.8029586101421071,0.06514480256709508,0.0000000005141727557147136,0.00000000000000000001
43,37,,1,,1,,,,,0.2698072910088703,0.45821015013454713,0.1349230334229049,0.0000000006123001133474817,0.00000000000000000001
44,38,,1,,1,,,,,0.03914348825802795,0.6632313288439929,0.2208730952562235,0.0000000027098334373653276,0.00000000000000000001
